expectation_id	case_id	mode_scope	expected_status	expected_error	expected_commit	expected_reconciliation	freshness	postcondition
E_HEALTHY_PARITY	H01	verified	PASS	none	1	not-attempted	NotProtected	exact root transition nested ordered logical catalog authority and expectations hashes and checked mutation work parity with verified complete scrub
E_HEALTHY_PARITY	H02	trusted-local-dev	PASS	none	1	not-attempted	NotProtected	exact root transition nested ordered logical catalog authority and expectations hashes and checked mutation work parity with zero complete scrub
E_HEALTHY_PARITY	H03	both	PASS	none	0	not-attempted	NotProtected	pre-dispatch nested native clone receipt binds manifest-verified master ordered entries exact sizes inventory inode relation clonefile success and NotRehashedPerFastLaw content classification
E_HEALTHY_PARITY	H04	both	PASS	none	1	not-attempted	NotProtected	physical SQLite SHA-256 parity is NotClaimed and never substitutes for ordered logical catalog authority
E_HEALTHY_PARITY	H05	both	PASS	none	1	not-attempted	NotProtected	wrapper validation_scope and fixed_checkpoint select exactly first and final observations of all 28 role-sequences for 56 CompleteRoundTrip checkpoints
E_HEALTHY_PARITY	H06	both	PASS	none	1	not-attempted	NotProtected	every noncheckpoint CaptureOnly arm still has exact root transition logical catalog sidecars work transaction Q and cleanup evidence
E_HEALTHY_PARITY	H07	both	PASS	none	0	not-attempted	NotProtected	durable zero-row dry-run records calibration forecast and PASS or REVISE disposition before exit and before any row or lock
E_TOUCHED_MISSING	C01	both	REVISE	MissingObject(id)	0	not-attempted	NotProtected	old head visible and no transaction residue
E_TOUCHED_IDENTITY	C02	both	REVISE	IdentityMismatch	0	not-attempted	NotProtected	touched corruption fails before commit and old head remains visible
E_TOUCHED_ROLE	C03	both	REVISE	WrongLogicalRole	0	not-attempted	NotProtected	wrong-role canonical bytes fail before commit
E_MALFORMED_MAPPING	C04	both	REVISE	existing-exact-typed-mapping-error	0	not-attempted	NotProtected	malformed length or topology fails before commit
E_UNRELATED_CORRUPTION	C05	verified	REVISE	IdentityMismatch	0	not-attempted	NotProtected	complete scrub detects unrelated corruption
E_UNRELATED_CORRUPTION	C06	trusted-local-dev	PASS	none	1	not-attempted	NotProtected	edit may commit but later access and explicit verification return IdentityMismatch
E_HEAD_RECEIPT	P01	both	REVISE	InvalidValidationReceipt	0	not-attempted	NotProtected	invalid head tuple or transition receipt is never published
E_HEAD_CONFLICT	P02	both	REVISE	PublicationConflict	0	not-attempted	NotProtected	changed head remains visible
E_PRECOMMIT_ROLLBACK	P03	both	REVISE	exact-injected-error	0	not-attempted	NotProtected	ordinary error rolls back and old head remains visible
E_LOST_ACK	P04	both	PASS	none	1	requested-visible	NotProtected	one publication commit and requested head visible after fresh reconciliation
E_AMBIGUOUS_COMMIT	P05	both	REVISE	AmbiguousDurability	1	ambiguous	NotProtected	no unsupported success classification
E_ROLLBACK_WHOLE	R01	both	PASS	none	0	not-attempted	NotProtected	older internally valid complete store is accepted and labeled NotProtected
E_ROLLBACK_DB_ONLY	R02	both	PASS	none	0	not-attempted	NotProtected	older internally valid database with matching current authority is accepted
E_ROLLBACK_DB_SIDECAR	R03	both	PASS	none	0	not-attempted	NotProtected	older internally valid database and authority pair is accepted
E_REPLAY_OLD_HEAD	R04	both	PASS	none	0	not-attempted	NotProtected	old internally valid head and receipt replay is accepted if its closure is complete
E_AUTH_MISSING	A01	both	REVISE	ValidationAuthorityUnavailable	0	not-attempted	NotProtected	open is read-only and creates no replacement authority
E_AUTH_SIZE	A02	both	REVISE	ValidationAuthorityUnavailable	0	not-attempted	NotProtected	wrong-size authority is unchanged
E_AUTH_MODE	A03	both	REVISE	ValidationAuthorityUnavailable	0	not-attempted	NotProtected	wrong-mode authority is unchanged
E_AUTH_SYMLINK	A04	both	REVISE	ValidationAuthorityUnavailable	0	not-attempted	NotProtected	symlink target is not followed
E_AUTH_REPLACED	A05	both	REVISE	ValidationAuthorityUnavailable	0	not-attempted	NotProtected	replaced or wrong-key authority is unchanged
E_WRONG_STORE	A06	both	REVISE	exact-existing-open-error	0	not-attempted	NotProtected	wrong database and authority pairing is rejected read-only
E_VERIFY_SNAPSHOT	V01	verified	PASS	none	0	not-attempted	NotProtected	current and explicit retained transition-root closures authenticate with no writes
E_VERIFY_UNREACHABLE	V02	verified	PASS	none	0	not-attempted	NotProtected	unreachable object-table rows are explicitly outside snapshot verification
E_TERMINAL_CLEANUP	T01	both	PASS	none	0	not-attempted	NotProtected	zero trusted scopes verified permits transactions descriptors journals temps and Q
E_PROTECTED_SENTINEL	S01	verified	PASS	none	1	not-attempted	NotProtected	protected full-create and range root bytes and terminal Q remain exact
