arm,state,checkpoint,operation_ns,content,harness.predecessors,store.create,harness.input,filesystem.residual,filesystem/validate,filesystem/directories,filesystem/references,filesystem/inodes,filesystem/cleanup,filesystem/root.encode,storage.begin,storage.accept_loop,harness.index,storage.finish,state.residual,read_waves,requested_objects,returned_canonical_bytes,provider_read_elapsed_ns
baseline,history.state.1,1,52081250,6454958,216209,3155666,464833,172624,108625,194167,5167,153083,375,542,1967500,19439500,372500,18973417,402084,0,0,0,0
baseline,history.state.2,4,148698084,10307750,364292,0,804750,16813209,36201166,12270416,14375,4646084,625,916,461625,48190208,592541,16281792,1748335,1680,1708,1222447,67687896
baseline,history.state.3,7,218748459,14919041,536125,0,871042,42595332,32165542,38469250,14375,10589375,625,792,486417,54985250,667583,21716500,731210,1373,1418,1813623,121369641
baseline,history.state.4,10,306266292,18662250,759291,0,954000,84969292,21569791,59991875,15709,24493625,333,1041,510292,85215958,786833,7261167,1074835,1320,1380,2336583,188235426
baseline,history.state.5,13,369335542,23671042,759958,0,1103166,88536334,41814208,76793791,18959,25148667,583,792,471459,80363750,933125,27385750,2333958,1592,1666,2750017,229205916
baseline,history.state.6,16,535025959,23955375,814208,0,1310833,154906583,38381125,138255167,19750,44374708,584,875,567375,90699875,1012375,35662916,5064210,1591,1673,3204070,372342457
baseline,history.state.7,19,878159125,32174708,1367833,0,1531917,271745000,48479792,281464125,30583,62166500,1125,958,533291,130636709,1575375,44439958,2011251,2221,2334,5341845,658563405
baseline,history.state.8,22,861967958,33824917,1229208,0,1733041,255360333,67825750,248026750,38458,63044750,584,1042,462792,138895709,1497833,47855917,2170874,2342,2459,5004829,629135804
baseline,history.state.9,25,988993334,26184083,1041833,0,1331458,341244208,57913250,336332792,27084,93948333,375,917,496292,107268041,684000,20924791,1595877,1841,1979,5329673,824288141
baseline,history.state.10,28,1061957125,20666000,865125,0,1115541,342620667,159612791,323673042,21041,86100917,458,875,377417,89449917,834166,34584833,2034335,1523,1648,4433244,907388674
baseline,history.state.11,31,2111840542,41673709,1494375,0,1782583,542289542,804323708,461171542,48084,110062875,625,916,468625,131040375,836458,15124458,1522667,3969,4087,13325594,1908892733
baseline,history.state.12,34,1096690500,40576000,1500125,0,2275875,327698460,112986708,287958708,38041,87215916,583,1084,470584,179809542,2141583,51387167,2630124,3646,3801,8126862,808325826
baseline,history.state.13,37,822418334,32328334,1117708,0,1691000,243504793,54770083,218938708,33250,81429916,541,917,527792,167107250,1359416,14313333,5295293,2080,2260,5901227,593258679
baseline,history.state.14,40,1075429750,28106542,1446250,0,2301125,318375042,131544250,311660083,34750,94248125,625,917,459708,124871625,1842042,58063000,2475666,2775,2941,7590402,849082206
baseline,history.state.15,43,1118580541,28365209,1339916,0,1715416,378258708,66090542,370655958,34250,111253916,1000,1167,540791,142540792,1169833,14377083,2235960,1950,2141,6141970,920643994
baseline,history.state.16,46,1870799042,64525584,2784125,0,3606292,479271585,416909542,393367666,75125,132488458,833,1708,588250,271441083,3099833,96101708,6537250,5553,5727,15097646,1409683773
baseline,history.state.17,49,1041276458,33482042,1213958,0,2108416,316537417,78279750,293798042,26291,133611875,792,1083,556083,161063834,1591916,15923209,3081750,1527,1769,5551303,817115948
baseline,history.state.18,52,2025316083,58872500,3235917,0,3951042,633464292,190212916,496406125,81875,193045167,916,1375,667166,412899625,4251375,24520125,3705667,5071,5342,15470892,1500493601
baseline,history.state.19,55,1369698042,38709375,1832375,0,3138875,400915375,148546542,312480708,32542,173508833,625,1167,618334,213815083,2559417,70892917,2645874,2523,2862,10173532,1026895014
