arm,state,operation_ns,provider_ns,outside_provider_ns
baseline,history.state.1,58490292,0,58490292
baseline,history.state.2,155886250,50472850,105413400
baseline,history.state.3,149485167,48373503,101111664
baseline,history.state.4,178195250,55519579,122675671
baseline,history.state.5,217603625,69778335,147825290
baseline,history.state.6,251054834,88409744,162645090
baseline,history.state.7,375742916,132824160,242918756
baseline,history.state.8,389922625,143325954,246596671
baseline,history.state.9,319818875,155681920,164136955
baseline,history.state.10,364349209,200240669,164108540
baseline,history.state.11,1043797125,833537836,210259289
baseline,history.state.12,526253042,221583099,304669943
baseline,history.state.13,411466583,176988840,234477743
baseline,history.state.14,477765625,236791149,240974476
baseline,history.state.15,424932000,219821346,205110654
baseline,history.state.16,1055612209,556799364,498812845
baseline,history.state.17,459243875,217781704,241462171
baseline,history.state.18,982285375,419408420,562876955
baseline,history.state.19,689260250,336284958,352975292
baseline,history.state.20,677104167,351883369,325220798
baseline,history.state.21,735730458,376057169,359673289
baseline,history.state.22,425603375,263409382,162193993
baseline,history.state.23,896334042,447127072,449206970
baseline,history.state.24,874816542,461762212,413054330
baseline,history.state.25,666826209,390874659,275951550
baseline,history.state.26,1191682833,812709320,378973513
baseline,history.state.27,1794741792,1304538692,490203100
baseline,history.state.28,539683416,359336748,180346668
baseline,history.state.29,1357217083,631974792,725242291
baseline,history.state.30,698525542,397449033,301076509
baseline,history.state.31,1020631375,566627259,454004116
baseline,history.state.32,1144393792,689687136,454706656
baseline,history.state.33,1655616500,777028248,878588252
baseline,history.state.34,1109021625,607186756,501834869
baseline,history.state.35,1583218583,816341062,766877521
baseline,history.state.36,2853922584,2214653861,639268723
baseline,history.state.37,2124472834,1408217143,716255691
baseline,history.state.38,5694943417,3739979316,1954964101
baseline,history.state.39,1174028834,639528244,534500590
baseline,history.state.40,1451317125,765981483,685335642
baseline,history.state.41,1129173833,715824943,413348890
baseline,history.state.42,2926556208,1371052051,1555504157
baseline,history.state.43,1227730750,711699267,516031483
baseline,history.state.44,1233449667,716923841,516525826
baseline,history.state.45,2278913916,1068196213,1210717703
baseline,history.state.46,1878129625,1188391506,689738119
baseline,history.state.47,3803685291,2003388539,1800296752
baseline,history.state.48,1586497708,806721245,779776463
baseline,history.state.49,2212091833,1172561681,1039530152
baseline,history.state.50,1220588042,810973719,409614323
baseline,history.state.51,2467769667,1345368747,1122400920
baseline,history.state.52,3065228334,1540297262,1524931072
baseline,history.state.53,1639364291,1038775822,600588469
candidate,history.state.1,53272333,0,53272333
candidate,history.state.2,124058416,43918992,80139424
candidate,history.state.3,137744666,38750840,98993826
candidate,history.state.4,162446333,46807420,115638913
candidate,history.state.5,197466208,59137715,138328493
candidate,history.state.6,224326167,70367610,153958557
candidate,history.state.7,341943167,118916844,223026323
candidate,history.state.8,360517209,124289027,236228182
candidate,history.state.9,298126667,140031475,158095192
candidate,history.state.10,317066375,155546721,161519654
candidate,history.state.11,823205750,619963925,203241825
candidate,history.state.12,483568958,188687838,294881120
candidate,history.state.13,399347333,157039953,242307380
candidate,history.state.14,415414459,186640837,228773622
candidate,history.state.15,374198750,177598493,196600257
candidate,history.state.16,975526583,488479775,487046808
candidate,history.state.17,459173208,201554558,257618650
candidate,history.state.18,924287083,374338476,549948607
candidate,history.state.19,684181875,299154042,385027833
candidate,history.state.20,590982459,281372073,309610386
candidate,history.state.21,663484708,307035163,356449545
candidate,history.state.22,384493875,227224252,157269623
candidate,history.state.23,859252667,392848337,466404330
candidate,history.state.24,806252000,399369670,406882330
candidate,history.state.25,598263750,337750114,260513636
candidate,history.state.26,1063722792,695694935,368027857
candidate,history.state.27,1678167000,1174067279,504099721
candidate,history.state.28,478186667,305203262,172983405
candidate,history.state.29,1265844416,543954350,721890066
candidate,history.state.30,659719542,349170038,310549504
candidate,history.state.31,952239541,501078214,451161327
candidate,history.state.32,988289333,560967951,427321382
candidate,history.state.33,1582272417,680715854,901556563
candidate,history.state.34,1048360250,540032527,508327723
candidate,history.state.35,1473424875,710322989,763101886
candidate,history.state.36,2526472250,1875506777,650965473
candidate,history.state.37,2031180042,1282640189,748539853
candidate,history.state.38,5009257417,3031766575,1977490842
candidate,history.state.39,1096841542,570768215,526073327
candidate,history.state.40,1367475333,672498635,694976698
candidate,history.state.41,1004075750,604063465,400012285
candidate,history.state.42,2514022083,1090925802,1423096281
candidate,history.state.43,1051951125,566076501,485874624
candidate,history.state.44,1079960000,589477896,490482104
candidate,history.state.45,2040859291,882680418,1158178873
candidate,history.state.46,1685431541,994076927,691354614
candidate,history.state.47,3470058041,1680746788,1789311253
candidate,history.state.48,1550328875,742665718,807663157
candidate,history.state.49,2022689584,976152394,1046537190
candidate,history.state.50,1092177583,668663656,423513927
candidate,history.state.51,2226312625,1137848146,1088464479
candidate,history.state.52,2934235709,1393307834,1540927875
candidate,history.state.53,1487322042,897107196,590214846
