arm,state,operation_ns,provider_ns,pooled_decodes,pooled_decoded_bytes,pooled_hits,ordinary_decodes
baseline,history.state.1,37633334,0,0,0,0,0
baseline,history.state.2,93877041,33688049,114,2014152,0,1
baseline,history.state.3,100775000,33949062,166,4919078,0,2
baseline,history.state.4,139972833,49677428,344,9308200,0,3
baseline,history.state.5,174801667,65770540,498,13946310,0,3
baseline,history.state.6,197154791,84403206,656,20790736,0,5
baseline,history.state.7,313275250,144230810,1204,39986830,0,6
baseline,history.state.8,327180792,158213668,1232,44583966,0,7
baseline,history.state.9,321397125,193806612,1618,65645772,0,8
baseline,history.state.10,360922541,241806343,2430,86398530,0,9
baseline,history.state.11,893999292,746024872,5318,133652730,0,10
baseline,history.state.12,437173459,228037684,1850,58667900,0,9
baseline,history.state.13,331303625,169320294,1162,35126850,0,11
baseline,history.state.14,395320083,231156122,1546,61338360,0,12
baseline,history.state.15,381494458,236466888,1916,65529138,0,12
baseline,history.state.16,889784958,551652722,3276,109899814,0,14
baseline,history.state.17,428264875,266050912,2386,91885554,0,14
baseline,history.state.18,871106167,474737729,3590,145033100,0,16
baseline,history.state.19,609206041,362892899,2810,111987104,0,22
baseline,history.state.20,630240041,386695884,3212,130331274,0,40
baseline,history.state.21,652038792,406737341,3306,125443576,0,42
baseline,history.state.22,402605667,291838089,2546,99329044,0,18
baseline,history.state.23,803560792,490950330,4164,169505266,0,51
baseline,history.state.24,793993333,508578360,4600,179722096,0,52
baseline,history.state.25,647603750,458036088,4182,163555792,0,40
baseline,history.state.26,1178485708,907775812,8212,307323702,0,96
baseline,history.state.27,1608831208,1265354233,8014,302406422,0,70
baseline,history.state.28,502968291,378573786,3470,133488124,0,31
baseline,history.state.29,1173575875,681526263,5684,213504338,0,85
baseline,history.state.30,666013709,449671094,3878,154173886,0,49
baseline,history.state.31,914640875,600869053,5312,199801622,0,95
baseline,history.state.32,1050018458,728056133,6410,237455718,0,109
baseline,history.state.33,1405826334,766843561,5398,207518844,0,134
baseline,history.state.34,972323833,623084842,4264,172492360,0,98
baseline,history.state.35,1411333375,874647316,5706,244833124,0,102
baseline,history.state.36,2777575500,2310764091,13658,601941786,0,149
baseline,history.state.37,1958611375,1457034327,8798,384918812,0,211
baseline,history.state.38,4889711084,3514814032,17500,808625192,0,145
baseline,history.state.39,963657708,608612524,3398,150682408,0,98
baseline,history.state.40,1247500333,775354475,4802,202441140,0,116
baseline,history.state.41,1039484125,748896006,5010,207704116,0,84
baseline,history.state.42,2347058541,1305845951,7444,327227278,0,214
baseline,history.state.43,1028464833,685704881,3886,175504336,0,87
baseline,history.state.44,1039241417,696901405,4356,188322370,0,108
baseline,history.state.45,1868846500,1064125791,7106,304384714,0,197
baseline,history.state.46,1705305250,1222973445,8288,353579172,0,166
baseline,history.state.47,3239955250,1953714442,11304,512099806,0,264
baseline,history.state.48,1489222667,928629174,5696,254091758,0,95
baseline,history.state.49,1925218000,1194174148,8214,375492378,0,175
baseline,history.state.50,1121101584,831892587,5788,267622124,0,67
baseline,history.state.51,2095372917,1372934883,9422,420989286,0,165
baseline,history.state.52,2506974542,1494795466,8208,374721862,0,163
baseline,history.state.53,1374220584,969565236,5338,250477326,0,112
candidate,history.state.1,37673583,0,0,0,0,0
candidate,history.state.2,88312208,31779678,0,0,114,1
candidate,history.state.3,99339167,28838808,0,0,166,2
candidate,history.state.4,123675333,38184880,1,29633,343,2
candidate,history.state.5,151921875,48634302,2,55382,496,1
candidate,history.state.6,175203667,60498962,3,84269,653,2
candidate,history.state.7,252274417,93074672,4,120416,1200,2
candidate,history.state.8,269034958,101149515,5,156284,1227,2
candidate,history.state.9,222027042,107706579,6,198910,1612,2
candidate,history.state.10,247280250,135688374,7,247587,2423,2
candidate,history.state.11,743618834,594421333,8,269492,5310,2
candidate,history.state.12,364172250,153425595,8,258389,1842,3
candidate,history.state.13,285788042,123902658,9,301570,1153,3
candidate,history.state.14,329405458,163265469,11,374115,1535,4
candidate,history.state.15,297507500,151975460,11,400831,1905,4
candidate,history.state.16,773101208,420742035,35,1157322,3241,11
candidate,history.state.17,327421584,164137878,38,1364301,2348,20
candidate,history.state.18,721498833,312307669,71,2572574,3519,41
candidate,history.state.19,474002333,232648207,91,3574898,2719,37
candidate,history.state.20,449191250,237381629,225,8753888,2987,59
candidate,history.state.21,492901916,258793767,236,9040608,3070,58
candidate,history.state.22,295880417,185780170,204,8299076,2342,21
candidate,history.state.23,621785500,305265902,301,11881959,3863,66
candidate,history.state.24,618273292,321345302,364,14259283,4236,92
candidate,history.state.25,471876375,284849100,390,15262226,3792,44
candidate,history.state.26,840083167,569128931,725,29220844,7487,167
candidate,history.state.27,1292569208,948314288,547,21601432,7467,123
candidate,history.state.28,401669333,274234548,682,27787904,2788,44
candidate,history.state.29,948309417,458212446,883,35632375,4801,116
candidate,history.state.30,488317333,280025729,627,25025494,3251,58
candidate,history.state.31,707739292,389205701,1014,40241696,4298,122
candidate,history.state.32,803873917,487471247,986,38811068,5424,157
candidate,history.state.33,1158895417,540092254,1102,44415486,4296,219
candidate,history.state.34,793943958,433460205,818,33573834,3446,137
candidate,history.state.35,1120462167,588103848,619,25737625,5087,178
candidate,history.state.36,2071440458,1610683313,493,20405414,13165,222
candidate,history.state.37,1520982750,1012908780,897,38348144,7901,281
candidate,history.state.38,3775422875,2500562255,812,34656429,16688,231
candidate,history.state.39,758168625,423121538,479,20486881,2919,138
candidate,history.state.40,988981125,519812709,572,24723874,4230,152
candidate,history.state.41,801424458,510065933,480,20457095,4530,115
candidate,history.state.42,1948031250,907138606,641,27970484,6803,290
candidate,history.state.43,813111000,477785292,363,15464428,3523,118
candidate,history.state.44,821715583,483187879,432,18831900,3924,128
candidate,history.state.45,1502599166,714850633,565,24887833,6541,240
candidate,history.state.46,1260385375,810314628,448,19162414,7840,212
candidate,history.state.47,2596097833,1329253085,543,23093092,10761,289
candidate,history.state.48,1126667000,584422927,429,18500177,5267,128
candidate,history.state.49,1445349250,747033836,739,33063003,7475,238
candidate,history.state.50,797933166,512437748,620,28245481,5168,94
candidate,history.state.51,1635794834,864263736,923,41506002,8499,218
candidate,history.state.52,2074766250,1032010435,818,37203274,7390,231
candidate,history.state.53,1163913583,755836554,672,30073960,4666,158
